Taille,Type,Temps_Insertion,Temps_Fusion,Temps_Tas
1000,aleatoire,1.88,0.44,0.43
5000,aleatoire,40.40,2.39,2.53
10000,aleatoire,77.16,2.36,2.51
20000,aleatoire,287.29,4.93,5.38
50000,aleatoire,1796.82,13.11,14.32
100000,aleatoire,7171.27,27.69,32.79
200000,aleatoire,28626.84,58.52,70.04
1000,croissant,0.00,0.13,0.16
5000,croissant,0.02,0.78,1.09
10000,croissant,0.03,1.58,2.15
20000,croissant,0.07,3.23,4.56
50000,croissant,0.16,8.59,12.20
100000,croissant,0.33,18.10,26.45
200000,croissant,0.68,38.64,56.59
1000,decroissant,1.45,0.13,0.15
5000,decroissant,37.65,0.70,0.93
10000,decroissant,142.31,1.57,2.67
20000,decroissant,568.08,3.29,4.15
50000,decroissant,3632.10,11.88,14.28
100000,decroissant,14205.06,18.05,24.81
200000,decroissant,57332.00,38.62,56.53
